rbt_id,lane,seq,x,y
RBT03,0,119,587.5,1841.747
RBT04,0,0,799.763,3000.95
RBT04,0,1,799.623,3006.245
RBT04,0,2,799.204,3011.526
RBT04,0,3,798.507,3016.777
RBT04,0,4,797.534,3021.985
RBT04,0,5,796.287,3027.133
RBT04,0,6,794.77,3032.209
RBT04,0,7,792.987,3037.197
RBT04,0,8,790.944,3042.085
RBT04,0,9,788.645,3046.857
RBT04,0,10,786.098,3051.502
RBT04,0,11,783.31,3056.006
RBT04,0,12,780.287,3060.357
RBT04,0,13,777.039,3064.542
RBT04,0,14,773.575,3068.549
RBT04,0,15,769.904,3072.369
RBT04,0,16,766.037,3075.989
RBT04,0,17,761.984,3079.4
RBT04,0,18,757.756,3082.592
RBT04,0,19,753.366,3085.557
RBT04,0,20,748.826,3088.286
RBT04,0,21,744.148,3090.772
RBT04,0,22,739.345,3093.007
RBT04,0,23,734.431,3094.986
RBT04,0,24,729.42,3096.702
RBT04,0,25,724.324,3098.152
RBT04,0,26,719.16,3099.331
RBT04,0,27,713.94,3100.235
RBT04,0,28,708.68,3100.863
RBT04,0,29,703.394,3101.212
RBT04,0,30,698.097,3101.282
RBT04,0,31,692.804,3101.073
RBT04,0,32,687.529,3100.584
RBT04,0,33,682.288,3099.817
RBT04,0,34,677.094,3098.775
RBT04,0,35,671.962,3097.461
RBT04,0,36,666.907,3095.877
RBT04,0,37,661.943,3094.029
RBT04,0,38,657.083,3091.921
RBT04,0,39,652.341,3089.56
RBT04,0,40,647.73,3086.951
RBT04,0,41,643.263,3084.104
RBT04,0,42,638.953,3081.024
RBT04,0,43,634.811,3077.721
RBT04,0,44,630.85,3074.204
RBT04,0,45,627.079,3070.483
RBT04,0,46,623.51,3066.568
RBT04,0,47,620.153,3062.471
RBT04,0,48,617.017,3058.201
RBT04,0,49,614.11,3053.773
RBT04,0,50,611.441,3049.197
RBT04,0,51,609.018,3044.486
RBT04,0,52,606.846,3039.654
RBT04,0,53,604.932,3034.715
RBT04,0,54,603.282,3029.681
RBT04,0,55,601.9,3024.567
RBT04,0,56,600.789,3019.388
RBT04,0,57,599.954,3014.156
RBT04,0,58,599.395,3008.889
RBT04,0,59,599.116,3003.599
RBT04,0,60,599.116,2998.301
RBT04,0,61,599.395,2993.011
RBT04,0,62,599.954,2987.743
RBT04,0,63,600.789,2982.512
RBT04,0,64,601.9,2977.333
RBT04,0,65,603.282,2972.219
RBT04,0,66,604.932,2967.185
RBT04,0,67,606.846,2962.245
RBT04,0,68,609.018,2957.413
RBT04,0,69,611.441,2952.703
RBT04,0,70,614.11,2948.127
