pair,alt,seq,x,y,risk,conflict
DB02_to_DK06#alt2,2,37,3100.0,350.0,0.6065,0.0
DB02_to_DK06#alt2,2,38,3150.0,400.0,0.7165,0.0
DB02_to_DK06#alt2,2,39,3200.0,450.0,0.79,0.0
DB02_to_DK06#alt2,2,40,3250.0,500.0,0.79,0.0
DB02_to_DK06#alt2,2,41,3300.0,550.0,0.79,0.0
DB02_to_DK06#alt2,2,42,3350.0,600.0,0.79,0.0
DB02_to_DK06#alt2,2,43,3400.0,650.0,0.79,0.0
DB02_to_DK06#alt2,2,44,3450.0,700.0,0.79,0.0
DB02_to_DK06#alt2,2,45,3500.0,750.0,0.79,0.0
DB02_to_DK06#alt2,2,46,3550.0,800.0,0.7165,0.0
DB02_to_DK06#alt2,2,47,3600.0,850.0,0.6889,0.0
DB02_to_DK06#alt2,2,48,3600.0,900.0,0.5903,0.0
DB02_to_DK06#alt2,2,49,3600.0,950.0,0.503,0.0
DB02_to_DK06#alt2,2,50,3600.0,1000.0,0.4275,0.0
DB02_to_DK06#alt2,2,51,3600.0,1050.0,0.3628,0.0
DB02_to_DK06#alt2,2,52,3600.0,1100.0,0.3077,0.0
DB02_to_DK06#alt2,2,53,3600.0,1150.0,0.2609,0.0
DB02_to_DK06#alt2,2,54,3600.0,1200.0,0.2211,0.0
DB02_to_DK06#alt3,3,0,1800.0,1100.0,0.1183,0.0
DB02_to_DK06#alt3,3,1,1850.0,1150.0,0.1199,0.0
DB02_to_DK06#alt3,3,2,1900.0,1200.0,0.1335,0.0
DB02_to_DK06#alt3,3,3,1950.0,1250.0,0.1661,0.0
DB02_to_DK06#alt3,3,4,2000.0,1300.0,0.2076,0.0
DB02_to_DK06#alt3,3,5,2050.0,1250.0,0.1937,0.0
DB02_to_DK06#alt3,3,6,2100.0,1250.0,0.2057,0.0
DB02_to_DK06#alt3,3,7,2150.0,1300.0,0.253,0.0
DB02_to_DK06#alt3,3,8,2200.0,1300.0,0.2609,0.0
DB02_to_DK06#alt3,3,9,2250.0,1250.0,0.2231,0.0
DB02_to_DK06#alt3,3,10,2300.0,1300.0,0.2636,0.0
DB02_to_DK06#alt3,3,11,2350.0,1300.0,0.2636,0.0
DB02_to_DK06#alt3,3,12,2400.0,1350.0,0.3114,0.0
DB02_to_DK06#alt3,3,13,2450.0,1400.0,0.3679,0.0
DB02_to_DK06#alt3,3,14,2500.0,1450.0,0.4346,0.0
DB02_to_DK06#alt3,3,15,2550.0,1400.0,0.4346,0.0
DB02_to_DK06#alt3,3,16,2600.0,1450.0,0.5134,0.0
DB02_to_DK06#alt3,3,17,2650.0,1500.0,0.5903,0.0
DB02_to_DK06#alt3,3,18,2700.0,1550.0,0.6241,0.0
DB02_to_DK06#alt3,3,19,2750.0,1550.0,0.6889,0.0
DB02_to_DK06#alt3,3,20,2800.0,1550.0,0.7165,0.0
DB02_to_DK06#alt3,3,21,2850.0,1550.0,0.7165,0.0
