route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,32,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,33,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,34,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,35,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,36,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,37,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,38,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,39,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,40,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,41,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,42,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,43,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,44,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,45,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,46,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,47,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,48,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,49,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,50,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,51,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
TA017_MAJ012_DK01_to_DB02_to_FLZ03_FLZ_branch,52,60,22.12121757186788,11497.697925001752,8026;7213;7214;8533;8425;8943;5615;3996;4103;3204;2711;2811;3008;6728;6708;7231;8127
