node_id,x,y,z,slowness,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix,is_candidate,candidate_type,candidate_id,route_hit_count
4964,750.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
4965,800.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
4966,850.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
4967,900.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
4968,950.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
4969,1000.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,7
4970,1050.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,7
4971,1100.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,7
4972,1150.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,8
4973,1200.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,7
4974,1250.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
4975,1300.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
4976,1350.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
4977,1400.0,2450.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
4978,1450.0,2450.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
4979,1500.0,2450.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
4980,1550.0,2450.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
4981,1600.0,2450.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
4982,1650.0,2450.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
4983,1700.0,2450.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
4984,1750.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
4985,1800.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
4986,1850.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
4987,1900.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
4988,1950.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
4989,2000.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
4990,2050.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
4991,2100.0,2450.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
4992,2150.0,2450.0,0.0,10.0,1.0,1.0,1.0,1,1,0,NONE,NONE,False,,,0
4993,2200.0,2450.0,0.0,10.0,1.0,1.0,1.0,1,1,0,NONE,NONE,False,,,0
4994,2250.0,2450.0,0.0,10.0,1.0,1.0,1.0,1,1,0,NONE,NONE,False,,,0
4995,2300.0,2450.0,0.0,10.0,0.0,1.0,1.0,0,1,0,NONE,NONE,False,,,0
4996,2350.0,2450.0,0.0,10.0,0.0,1.0,1.0,0,1,0,NONE,NONE,False,,,0
4997,2400.0,2450.0,0.0,10.0,0.0,1.0,1.0,0,1,0,NONE,NONE,False,,,0
4998,2450.0,2450.0,0.0,10.0,0.0,1.0,1.0,0,1,0,NONE,NONE,False,,,0
4999,2500.0,2450.0,0.0,10.0,0.0,1.0,1.0,0,1,0,NONE,NONE,False,,,0
5000,2550.0,2450.0,0.0,10.0,0.0,1.0,1.0,0,1,0,NONE,NONE,False,,,0
5001,2600.0,2450.0,0.0,10.0,0.0,1.0,1.0,0,1,0,NONE,NONE,False,,,0
5002,2650.0,2450.0,0.0,10.0,0.0,1.0,1.0,0,1,0,NONE,NONE,False,,,0
5003,2700.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
5004,2750.0,2450.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
