leg_id,lane,seq,x,y
BAK01__BAK02,B,72,4625.0,2420.0
BAK01__BAK02,B,73,4625.0,2430.0
BAK01__BAK02,B,74,4625.0,2440.0
BAK01__BAK02,B,75,4625.0,2450.0
BAK01__BAK02,B,76,4625.0,2460.0
BAK01__BAK02,B,77,4625.0,2470.0
BAK01__BAK02,B,78,4625.0,2480.0
BAK01__BAK02,B,79,4625.0,2490.0
BAK01__BAK02,B,80,4625.0,2500.0
BAK01__EXT02,A,0,4620.8012573584465,1713.8675049056308
BAK01__EXT02,A,1,4626.280709413241,1705.6483268234392
BAK01__EXT02,A,2,4631.760161468035,1697.429148741247
BAK01__EXT02,A,3,4637.23961352283,1689.2099706590554
BAK01__EXT02,A,4,4642.719065577625,1680.990792576864
BAK01__EXT02,A,5,4648.198517632419,1672.7716144946717
BAK01__EXT02,A,6,4653.677969687214,1664.5524364124801
BAK01__EXT02,A,7,4659.157421742008,1656.3332583302886
BAK01__EXT02,A,8,4664.636873796802,1648.1140802480963
BAK01__EXT02,A,9,4670.116325851597,1639.8949021659048
BAK01__EXT02,A,10,4675.595777906392,1631.6757240837132
BAK01__EXT02,A,11,4681.075229961186,1623.456546001521
BAK01__EXT02,A,12,4686.554682015981,1615.2373679193295
BAK01__EXT02,A,13,4692.0341340707755,1607.018189837138
BAK01__EXT02,A,14,4697.513586125569,1598.7990117549457
BAK01__EXT02,A,15,4702.993038180364,1590.5798336727541
BAK01__EXT02,A,16,4708.472490235159,1582.3606555905624
BAK01__EXT02,A,17,4713.951942289953,1574.1414775083704
BAK01__EXT02,A,18,4719.431394344748,1565.9222994261788
BAK01__EXT02,A,19,4724.910846399543,1557.703121343987
BAK01__EXT02,A,20,4730.3902984543365,1549.483943261795
BAK01__EXT02,A,21,4735.869750509131,1541.2647651796035
BAK01__EXT02,A,22,4741.349202563926,1533.0455870974117
BAK01__EXT02,A,23,4746.82865461872,1524.8264090152197
BAK01__EXT02,A,24,4752.308106673515,1516.6072309330282
BAK01__EXT02,A,25,4757.78755872831,1508.3880528508364
BAK01__EXT02,A,26,4763.267010783104,1500.1688747686444
BAK01__EXT02,A,27,4768.746462837898,1491.9496966864529
BAK01__EXT02,A,28,4774.225914892693,1483.730518604261
BAK01__EXT02,A,29,4779.705366947487,1475.511340522069
BAK01__EXT02,A,30,4785.184819002282,1467.2921624398775
BAK01__EXT02,A,31,4790.664271057077,1459.0729843576858
BAK01__EXT02,A,32,4796.143723111871,1450.8538062754938
BAK01__EXT02,A,33,4801.6231751666655,1442.6346281933022
BAK01__EXT02,A,34,4807.10262722146,1434.4154501111104
BAK01__EXT02,A,35,4812.582079276255,1426.1962720289189
BAK01__EXT02,A,36,4818.061531331049,1417.9770939467269
BAK01__EXT02,A,37,4823.540983385844,1409.757915864535
BAK01__EXT02,A,38,4829.020435440638,1401.538737782343
BAK01__EXT02,A,39,4834.499887495433,1393.3195597001516
BAK01__EXT02,A,40,4839.979339550227,1385.10038161796
BAK01__EXT02,A,41,4845.458791605022,1376.8812035357682
BAK01__EXT02,A,42,4850.938243659816,1368.6620254535762
BAK01__EXT02,A,43,4856.417695714611,1360.4428473713847
BAK01__EXT02,A,44,4861.897147769406,1352.223669289193
BAK01__EXT02,A,45,4867.3765998242,1344.004491207001
BAK01__EXT02,A,46,4872.856051878995,1335.7853131248094
BAK01__EXT02,A,47,4878.335503933789,1327.5661350426176
BAK01__EXT02,A,48,4883.814955988583,1319.3469569604256
BAK01__EXT02,A,49,4889.294408043378,1311.127778878234
BAK01__EXT02,A,50,4894.773860098173,1302.9086007960423
BAK01__EXT02,A,51,4900.253312152967,1294.6894227138503
BAK01__EXT02,A,52,4905.732764207762,1286.4702446316587
BAK01__EXT02,A,53,4911.2122162625565,1278.251066549467
BAK01__EXT02,A,54,4916.69166831735,1270.031888467275
BAK01__EXT02,A,55,4922.171120372145,1261.8127103850834
BAK01__EXT02,A,56,4927.65057242694,1253.5935323028916
BAK01__EXT02,A,57,4933.130024481734,1245.3743542206996
