t_s,agent_a,agent_b,gap_m,x,y,res_a,res_b,flight_level
8160.0,208,260,7.13,2072.9,1621.6,RBT04#RING,DK05__RBT04#A,4
8340.0,155,251,31.09,190.1,3248.4,RBT16#RING,RBT11__RBT16#A,1
8360.0,230,275,6.89,2126.7,1570.9,RBT04__RBT08#B,RBT04#RING,3
8480.0,386,388,25.74,756.2,4233.7,DB01__TN7#A,DB01__TN2#A,0
8500.0,386,388,17.21,774.1,4250.0,DB01__TN7#A,DB01__TN2#A,0
8520.0,386,388,31.35,792.7,4267.5,DB01__TN7#A,DB01__TN2#A,0
8540.0,278,203,29.6,2132.0,1553.5,RBT04__RBT08#B,RBT04#RING,3
8560.0,278,203,13.32,2125.1,1573.7,RBT04__RBT08#B,RBT04#RING,3
8900.0,374,376,0.83,2000.7,1431.1,DB02__RBT04#A,RBT04#RING,1
8920.0,466,486,38.25,715.2,4209.1,DB01__TN1#A,DB01__RN3#A,2
8940.0,466,486,40.81,698.2,4233.8,DB01__TN1#A,DB01__RN3#A,2
9140.0,225,440,49.38,841.5,4228.4,DB01__TN2#B,DB01__TN7#B,3
9160.0,225,440,49.18,824.3,4212.4,DB01__TN2#B,DB01__TN7#B,3
9400.0,480,504,13.33,710.7,4216.1,DB01__TN1#A,DB01__RN3#A,2
9420.0,480,504,1.27,701.5,4238.4,DB01__TN1#A,DB01__RN3#A,2
9440.0,480,504,11.6,682.9,4255.8,DB01__TN1#A,DB01__RN3#A,2
9460.0,480,504,38.07,661.3,4279.8,DB01__TN1#A,DB01__RN3#A,2
9480.0,434,576,28.31,749.2,4228.1,DB01__TN7#A,DB01__TN2#A,0
9500.0,159,574,5.52,2132.8,615.0,DB02__RBT02#A,DB02__TN8#A,5
9500.0,177,552,21.07,770.6,4174.7,DB01__TN7#B,DK01__DB01#B,3
9500.0,434,576,18.06,765.5,4242.3,DB01__TN7#A,DB01__TN2#A,0
9520.0,177,552,32.47,759.4,4164.8,DB01__TN7#B,DK01__DB01#B,3
9520.0,434,576,21.23,781.7,4256.4,DB01__TN7#A,DB01__TN2#A,0
9540.0,177,552,48.2,755.3,4156.7,DB01__TN7#B,DK01__DB01#B,3
9540.0,434,576,35.81,798.9,4272.0,DB01__TN7#A,DB01__TN2#A,0
9720.0,432,528,32.34,760.4,4233.8,DB01__TN1#B,DB01__RN3#B,5
10060.0,123,179,34.25,727.2,4195.0,DB01__TN2#A,DK01__DB01#A,0
10080.0,123,179,34.45,735.6,4210.0,DB01__TN2#A,DK01__DB01#A,0
10100.0,123,179,34.05,745.3,4224.1,DB01__TN2#A,DK01__DB01#A,0
10160.0,468,490,44.26,615.9,3441.2,DK01__RBT15#A,RBT15#RING,5
10320.0,304,356,1.52,2016.5,1627.3,RBT04__RBT07#B,RBT04#RING,4
10480.0,424,448,29.17,1711.2,2154.9,RBT04__RBT07#A,RBT07#RING,1
10580.0,424,448,48.36,1748.2,2164.6,RBT04__RBT07#A,RBT07#RING,1
10840.0,584,586,37.97,715.1,4209.2,DB01__TN1#A,DB01__RN3#A,2
10860.0,584,586,35.15,697.3,4236.6,DB01__TN1#A,DB01__RN3#A,2
10880.0,584,586,37.33,673.2,4264.8,DB01__TN1#A,DB01__RN3#A,2
10900.0,584,586,44.84,637.1,4302.6,DB01__TN1#A,DB01__RN3#A,2
11200.0,378,233,14.82,2024.6,1628.3,RBT04__RBT07#B,RBT04#RING,4
11200.0,494,496,24.05,2395.1,507.8,DB02__TN8#A,DB02__RBT02#A,5
11260.0,584,586,36.48,173.8,3455.8,RBT16#RING,DK01__RBT16#A,4
11880.0,193,672,46.59,693.1,4238.7,DB01__RN3#A,DB01__TN1#A,2
11900.0,193,672,35.87,675.0,4262.9,DB01__RN3#A,DB01__TN1#A,2
11920.0,193,672,18.01,650.2,4292.8,DB01__RN3#A,DB01__TN1#A,2
11940.0,193,672,28.69,612.5,4337.3,DB01__RN3#A,DB01__TN1#A,2
12000.0,291,369,10.24,2266.1,2787.5,DK05__RBT13#B,DK05__RBT07#A,3
12020.0,291,369,17.85,2256.7,2777.8,DK05__RBT13#B,DK05__RBT07#A,3
12040.0,696,658,20.81,728.3,4196.3,DB01__RN3#A,DB01__TN1#A,2
12060.0,696,658,23.08,714.9,4215.1,DB01__RN3#A,DB01__TN1#A,2
12060.0,634,656,10.79,740.7,4226.8,DB01__TN2#A,DB01__TN7#A,0
12080.0,696,658,19.58,697.6,4242.2,DB01__RN3#A,DB01__TN1#A,2
12080.0,634,656,14.42,749.5,4236.4,DB01__TN2#A,DB01__TN7#A,0
12100.0,574,279,40.45,2140.9,1568.9,RBT04#RING,RBT04__RBT08#B,3
12100.0,696,658,17.8,670.4,4267.6,DB01__RN3#A,DB01__TN1#A,2
12100.0,634,656,15.68,762.4,4245.9,DB01__TN2#A,DB01__TN7#A,0
12120.0,574,279,24.03,2122.1,1578.2,RBT04#RING,RBT04__RBT08#B,3
12120.0,696,658,17.67,636.1,4311.3,DB01__RN3#A,DB01__TN1#A,2
12120.0,634,656,22.1,775.4,4255.5,DB01__TN2#A,DB01__TN7#A,0
12140.0,696,658,46.74,571.5,4374.5,DB01__RN3#A,DB01__TN1#A,2
12140.0,634,656,32.42,789.1,4266.2,DB01__TN2#A,DB01__TN7#A,0
12160.0,634,656,43.48,802.7,4277.1,DB01__TN2#A,DB01__TN7#A,0
12180.0,702,720,15.22,723.4,4198.7,DB01__TN1#A,DB01__RN3#A,2
12200.0,702,720,7.2,710.1,4220.3,DB01__TN1#A,DB01__RN3#A,2
12220.0,702,720,23.88,695.6,4243.6,DB01__TN1#A,DB01__RN3#A,2
12280.0,291,249,48.45,1574.7,2987.8,DK05__RBT12#A,RBT12#RING,2
12300.0,496,345,26.56,2287.0,3658.8,RBT13__RBT17#A,RBT17#RING,2
12300.0,291,249,2.42,1591.6,3003.5,DK05__RBT12#A,RBT12#RING,2
12320.0,291,249,41.49,1599.7,3023.9,DK05__RBT12#A,RBT12#RING,2
12320.0,291,273,39.79,1578.4,2990.2,DK05__RBT12#A,RBT12#RING,2
12320.0,345,317,41.35,2346.3,3739.0,RBT17#RING,RBT17__RBT18#B,2
12340.0,436,706,47.42,762.3,4206.1,DB01__TN12#B,DB01__RBT15#A,4
12340.0,291,273,0.15,1592.3,3004.6,DK05__RBT12#A,RBT12#RING,2
12340.0,704,726,23.16,745.6,4226.5,DB01__TN7#A,DB01__TN2#A,0
12360.0,291,273,44.23,1599.9,3025.3,DK05__RBT12#A,RBT12#RING,2
12360.0,704,726,21.2,758.5,4236.3,DB01__TN7#A,DB01__TN2#A,0
12380.0,394,726,43.48,747.1,4226.3,DK01__DB01#A,DB01__TN2#A,0
12380.0,704,726,23.98,771.4,4245.8,DB01__TN7#A,DB01__TN2#A,0
12400.0,496,345,27.64,2310.3,3672.4,RBT13__RBT17#A,RBT17#RING,2
12400.0,704,726,29.83,784.2,4255.4,DB01__TN7#A,DB01__TN2#A,0
12420.0,704,726,36.91,797.2,4265.3,DB01__TN7#A,DB01__TN2#A,0
12440.0,704,726,44.99,810.7,4276.0,DB01__TN7#A,DB01__TN2#A,0
12580.0,462,271,25.76,1431.8,2991.6,DK04__RBT12#A,RBT12#RING,1
12600.0,462,271,6.07,1442.8,2980.2,DK04__RBT12#A,RBT12#RING,1
12620.0,462,271,37.64,1456.8,2972.7,DK04__RBT12#A,RBT12#RING,1
12620.0,532,530,49.93,755.2,4227.9,DB01__TN7#A,DB01__TN2#A,0
12640.0,532,530,49.98,768.0,4237.8,DB01__TN7#A,DB01__TN2#A,0
12660.0,744,768,45.46,704.9,4231.6,DB01__RN3#A,DB01__TN1#A,2
12680.0,744,768,45.11,681.7,4259.4,DB01__RN3#A,DB01__TN1#A,2
12740.0,281,305,17.57,2026.0,1628.4,RBT04#RING,RBT04__RBT07#B,4
12760.0,249,317,25.92,1394.8,3049.0,RBT12#RING,RBT12__RBT15#A,2
12920.0,452,305,34.85,2090.7,1610.5,DK05__RBT04#A,RBT04#RING,4
12940.0,452,305,45.59,2053.8,1624.6,DK05__RBT04#A,RBT04#RING,4
12980.0,510,732,6.91,178.7,3243.7,RBT11__RBT16#A,RBT16#RING,1
13240.0,305,307,8.19,2021.3,1628.1,RBT04#RING,RBT04__RBT07#B,4
13320.0,289,409,34.27,191.6,3814.4,DK01__RBT16#B,DK01__TN1#A,1
13340.0,265,313,37.14,691.2,4324.1,DB01__TN1#B,DB01__RN3#B,5
13360.0,265,313,23.88,726.1,4286.9,DB01__TN1#B,DB01__RN3#B,5
13380.0,265,313,19.13,750.9,4256.6,DB01__TN1#B,DB01__RN3#B,5
13440.0,426,718,25.05,2108.4,629.5,DB02__TN5#B,DB02__RBT02#A,5
13500.0,718,742,44.77,2325.1,535.7,DB02__RBT02#A,DB02__TN8#A,5
13520.0,718,742,42.76,2465.5,479.8,DB02__RBT02#A,DB02__TN8#A,5
13600.0,289,337,27.56,702.5,4308.2,DB01__TN1#B,DB01__RN3#B,5
13620.0,289,337,13.12,734.0,4280.3,DB01__TN1#B,DB01__RN3#B,5
13640.0,289,337,6.22,752.4,4251.2,DB01__TN1#B,DB01__RN3#B,5
13720.0,434,560,42.61,837.8,4228.3,DB01__TN2#B,DB01__TN7#B,3
13720.0,554,556,48.07,767.0,4237.5,DB01__TN7#A,DB01__TN2#A,0
13740.0,434,560,28.69,820.4,4217.2,DB01__TN2#B,DB01__TN7#B,3
13740.0,554,556,48.21,790.0,4255.7,DB01__TN7#A,DB01__TN2#A,0
