node_id,x,y,z,slowness,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix,is_candidate,candidate_type,candidate_id,route_hit_count
8853,3300.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
8854,3350.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
8855,3400.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
8856,3450.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
8857,3500.0,4350.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
8858,3550.0,4350.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
8859,3600.0,4350.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
8860,3650.0,4350.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
8861,3700.0,4350.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
8862,3750.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
8863,3800.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
8864,3850.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
8865,3900.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
8866,3950.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
8867,4000.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
8868,4050.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
8869,4100.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
8870,4150.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
8871,4200.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
8872,4250.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
8873,4300.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
8874,4350.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
8875,4400.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
8876,4450.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
8877,4500.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
8878,4550.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
8879,4600.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
8880,4650.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
8881,4700.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
8882,4750.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
8883,4800.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
8884,4850.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
8885,4900.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
8886,4950.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
8887,5000.0,4350.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
8888,0.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,12
8889,50.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,12
8890,100.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,17
8891,150.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,25
8892,200.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,21
8893,250.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,19
8894,300.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,15
8895,350.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,13
8896,400.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,12
8897,450.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,15
8898,500.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,22
8899,550.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,28
8900,600.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,28
8901,650.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,28
8902,700.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,28
8903,750.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,28
8904,800.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,24
8905,850.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,21
8906,900.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,20
8907,950.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,20
8908,1000.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,20
8909,1050.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,20
8910,1100.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,20
8911,1150.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,20
8912,1200.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,20
8913,1250.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,13
8914,1300.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
8915,1350.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
8916,1400.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
8917,1450.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
8918,1500.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
8919,1550.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
8920,1600.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
8921,1650.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
8922,1700.0,4400.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
8923,1750.0,4400.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
8924,1800.0,4400.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
8925,1850.0,4400.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
8926,1900.0,4400.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
8927,1950.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
8928,2000.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
8929,2050.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
8930,2100.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
8931,2150.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
8932,2200.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,7
8933,2250.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,8
8934,2300.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,7
8935,2350.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,7
8936,2400.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
8937,2450.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
8938,2500.0,4400.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
8939,2550.0,4400.0,0.0,10.0,1.0,0.0,1.0,1,0,0,NONE,NONE,False,,,0
8940,2600.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
8941,2650.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
8942,2700.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
8943,2750.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
8944,2800.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,6
8945,2850.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
8946,2900.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
8947,2950.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
8948,3000.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
8949,3050.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
8950,3100.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
8951,3150.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
8952,3200.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
8953,3250.0,4400.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
