route_id,pair,route_key,direction,route_type,route_rank,route_length_m,n_nodes,n_clusters_touched,cluster_sequence,cluster_coverage_sequence
DB02_to_DK05_backward_backup_01,DB02_to_DK05,backward_backup_01,backward,backup,1,5514.823227814083,91,2,0;1,0:0.582;1:0.044
DB02_to_DK05_backward_backup_02,DB02_to_DK05,backward_backup_02,backward,backup,2,5373.401871576773,89,2,0;1,0:0.472;1:0.079
DB02_to_DK05_backward_main_01,DB02_to_DK05,backward_main_01,backward,main,1,5344.112549695429,88,2,0;1,0:0.705;1:0.045
DB02_to_DK05_backward_main_02,DB02_to_DK05,backward_main_02,backward,main,2,5473.401871576773,91,2,0;1,0:0.692;1:0.044
DB02_to_DK05_backward_main_03,DB02_to_DK05,backward_main_03,backward,main,3,5197.665940288703,83,2,0;1,0:0.554;1:0.217
DB02_to_DK05_backward_main_04,DB02_to_DK05,backward_main_04,backward,main,4,5197.665940288703,83,2,0;1,0:0.554;1:0.217
DB02_to_DK05_forward_backup_01,DB02_to_DK05,forward_backup_01,forward,backup,1,5380.508652763321,85,2,1;0,1:0.047;0:0.400
DB02_to_DK05_forward_backup_02,DB02_to_DK05,forward_backup_02,forward,backup,2,5707.716446627535,99,2,1;0,1:0.040;0:0.727
DB02_to_DK05_forward_main_01,DB02_to_DK05,forward_main_01,forward,main,1,5280.50865276332,83,2,1;0,1:0.120;0:0.602
DB02_to_DK05_forward_main_02,DB02_to_DK05,forward_main_02,forward,main,2,5707.716446627535,99,2,1;0,1:0.061;0:0.515
DB02_to_DK05_forward_main_04,DB02_to_DK05,forward_main_04,forward,main,4,4875.483399593904,72,2,1;0,1:0.139;0:0.167
DB02_to_DK06_backward_backup_01,DB02_to_DK06,backward_backup_01,backward,backup,1,4569.8484809835,75,2,0;1,0:0.600;1:0.067
DB02_to_DK06_backward_backup_02,DB02_to_DK06,backward_backup_02,backward,backup,2,4876.955262170048,77,2,0;1,0:0.260;1:0.078
DB02_to_DK06_backward_main_01,DB02_to_DK06,backward_main_01,backward,main,1,4428.42712474619,73,2,0;1,0:0.630;1:0.178
DB02_to_DK06_backward_main_02,DB02_to_DK06,backward_main_02,backward,main,2,4440.559159102155,72,2,0;1,0:0.361;1:0.014
DB02_to_DK06_backward_main_04,DB02_to_DK06,backward_main_04,backward,main,4,4076.9552621700477,61,2,0;1,0:0.230;1:0.098
DB02_to_DK06_forward_backup_01,DB02_to_DK06,forward_backup_01,forward,backup,1,4457.716446627535,74,2,1;0,1:0.068;0:0.622
DB02_to_DK06_forward_backup_02,DB02_to_DK06,forward_backup_02,forward,backup,2,4381.980515339464,70,2,1;0,1:0.086;0:0.571
DB02_to_DK06_forward_backup_03,DB02_to_DK06,forward_backup_03,forward,backup,3,4887.005768508881,83,2,1;0,1:0.096;0:0.325
DB02_to_DK06_forward_main_01,DB02_to_DK06,forward_main_01,forward,main,1,4457.716446627535,74,2,1;0,1:0.095;0:0.622
DB02_to_DK06_forward_main_02,DB02_to_DK06,forward_main_02,forward,main,2,4452.6911934581185,71,2,1;0,1:0.028;0:0.535
DB02_to_DK06_forward_main_03,DB02_to_DK06,forward_main_03,forward,main,3,4687.005768508881,79,2,1;0,1:0.063;0:0.316
DB02_to_DK06_forward_main_04,DB02_to_DK06,forward_main_04,forward,main,4,4076.9552621700477,61,2,1;0,1:0.098;0:0.230
