version,pair,route_key,start_label,end_label,direction,route_type,route_rank,success,message,distance_m,distance_km,total_cost,n_path_nodes,expanded_nodes,runtime_sec,mean_distance_to_main_m,duplicated_from_main,duplicated_from_previous_main,used_full_map_retry,safe_fallback,main_avoid_previous_radius_m,backup_corridor_m,backup_mean_offset_m,backup_min_offset_m,backup_separation_violation_pct,backup_separation_ok,backup_max_offset_m,distance_diff_m,flz_buffer_ok,flz_buffer_min_distance_m,flz_buffer_via,lock_mode,locked_overlap_nodes,locked_overlap_checked_nodes,locked_overlap_percent,mean_flz_support,mean_emergency_risk,mean_other_terminal_avoidance,mean_traffic_penalty_factor,route_file
v15,DK02_to_DK03,backward_backup_01,DK03,DK02,backward,backup,1,True,Path found. [safe fallback attempted],6195.584412271572,6.195584412271572,452.16345525940653,110,216,0.5870852470397949,48.18181818181818,False,False,True,True,,50.0,48.18181818181818,2.589780671363104,3.404255319148936,True,50.0,282.8427124746195,True,35.35533905932738,,strict_lock,0,100,0.0,0.48093021296564936,0.5190697870343507,0.058696834627233394,1.0469574677017865,output/thetastar_master_plan/route_nodes/DK02_to_DK03_backward_backup_01.csv
v15,DK02_to_DK03,backward_main_02,DK03,DK02,backward,main,2,False,"Rank skipped: 1 candidate main(s) tried, none had a viable backup; no new distinct main exists under the lock/overlap limits.",,,,0,-1,,,,False,False,False,,,,,,,,,,,,,0,0,0.0,,,,,
v15,DK02_to_DK03,backward_backup_02,DK03,DK02,backward,backup,2,False,Rank skipped: no main+backup couple found.,,,,0,-1,,,,False,False,False,,,,,,,,,,,,,0,0,0.0,,,,,
v15,DK02_to_DK03,backward_main_03,DK03,DK02,backward,main,3,False,"Path found. [safe fallback attempted] Overlap with locked routes = 16/52 nodes (30.77%), exceeds limit 10.00%.",3057.106781186548,3.057106781186548,309.29475078888294,58,2595,2.616894006729126,,,False,False,True,0.0,,,,,,,,,,,soft_lock,16,52,30.76923076923077,0.5049873632879492,0.49501263671205076,0.5726500114415768,1.4581200091532616,output/thetastar_master_plan/route_nodes/DK02_to_DK03_backward_main_03.csv
v15,DK02_to_DK03,backward_backup_03,DK03,DK02,backward,backup,3,False,Skipped because backward_main_03 failed.,,,,0,-1,,,,False,False,False,,,,,,,,,,,,,0,0,0.0,,,,,
v15,DK02_to_DK03,backward_main_04,DK03,DK02,backward,main,4,False,"Path found. [safe fallback attempted] Overlap with locked routes = 16/52 nodes (30.77%), exceeds limit 10.00%.",3057.106781186548,3.057106781186548,309.29475078888294,58,2595,3.220670461654663,,,False,False,True,0.0,,,,,,,,,,,soft_lock,16,52,30.76923076923077,0.5049873632879492,0.49501263671205076,0.5726500114415768,1.4581200091532616,output/thetastar_master_plan/route_nodes/DK02_to_DK03_backward_main_04.csv
v15,DK02_to_DK03,backward_backup_04,DK03,DK02,backward,backup,4,False,Skipped because backward_main_04 failed.,,,,0,-1,,,,False,False,False,,,,,,,,,,,,,0,0,0.0,,,,,
v15,DK02_to_DK04,forward_main_01,DK02,DK04,forward,main,1,True,Route forced through FLZ buffer via FLZ03.,6109.797974644666,6.109797974644667,601.5695642571193,100,4392,5.655002117156982,,,False,False,True,,,,,,,,,True,0.0,FLZ03,,0,0,0.0,0.33879187861776416,0.6612081213822358,,,output/thetastar_master_plan/route_nodes/DK02_to_DK04_forward_main_01.csv
v15,DK02_to_DK04,forward_backup_01,DK02,DK04,forward,backup,1,True,Path found. [safe fallback attempted],6251.219330881976,6.251219330881976,616.4867487414614,102,232,0.7444303035736084,48.529411764705884,False,False,True,True,,50.0,48.529411764705884,5.48988100569267,0.8403361344537815,True,50.0,141.42135623730974,True,35.35533905932738,,no_lock,0,94,0.0,0.3347061593854285,0.6652938406145715,0.4548154272303326,1.3638523417842663,output/thetastar_master_plan/route_nodes/DK02_to_DK04_forward_backup_01.csv
v15,DK02_to_DK04,forward_main_02,DK02,DK04,forward,main,2,True,Path found. [safe fallback attempted],7573.401871576774,7.573401871576774,696.3662679856238,133,4345,3.16474986076355,,,False,True,True,0.0,,,,,,,,True,50.0,,strict_lock,0,120,0.0,0.49494459502389854,0.5050554049761015,0.38747138300914946,1.3099771064073196,output/thetastar_master_plan/route_nodes/DK02_to_DK04_forward_main_02.csv
v15,DK02_to_DK04,forward_backup_02,DK02,DK04,forward,backup,2,True,Path found. [safe fallback attempted],8026.955262170047,8.026955262170047,731.0674956840651,140,457,1.015866994857788,75.33924732471408,False,False,True,True,,150.0,75.33924732471408,35.355339059327214,0.0,True,111.80339887498948,453.5533905932725,True,50.0,,strict_lock,0,131,0.0,0.488563720998878,0.511436279001122,0.3629505307597806,1.2903604246078244,output/thetastar_master_plan/route_nodes/DK02_to_DK04_forward_backup_02.csv
v15,DK02_to_DK04,forward_main_03,DK02,DK04,forward,main,3,False,"Path found. [safe fallback attempted] Overlap with locked routes = 43/51 nodes (84.31%), exceeds limit 10.00%.",3139.9494936611663,3.1399494936611663,276.94396483145266,58,501,0.530585527420044,,,False,False,True,0.0,,,,,,,,,,,soft_lock,43,51,84.31372549019608,0.025348519659365687,0.9746514803406343,0.06305560008026297,1.0504444800642103,output/thetastar_master_plan/route_nodes/DK02_to_DK04_forward_main_03.csv
v15,DK02_to_DK04,forward_backup_03,DK02,DK04,forward,backup,3,False,Skipped because forward_main_03 failed.,,,,0,-1,,,,False,False,False,,,,,,,,,,,,,0,0,0.0,,,,,
