pair,alt,seq,x,y,risk,conflict
DB02_to_DK05#alt3,3,48,2250.0,2750.0,0.4931,0.0
DB02_to_DK05#alt4,4,0,2150.0,600.0,0.4076,0.0
DB02_to_DK05#alt4,4,1,2150.0,550.0,0.3485,0.0
DB02_to_DK05#alt4,4,2,2100.0,500.0,0.281,0.0
DB02_to_DK05#alt4,4,3,2150.0,450.0,0.2609,0.0
DB02_to_DK05#alt4,4,4,2200.0,400.0,0.2407,0.0
DB02_to_DK05#alt4,4,5,2250.0,350.0,0.2151,0.0
DB02_to_DK05#alt4,4,6,2300.0,350.0,0.2211,0.0
DB02_to_DK05#alt4,4,7,2350.0,400.0,0.2636,0.0
DB02_to_DK05#alt4,4,8,2400.0,450.0,0.3114,0.0
DB02_to_DK05#alt4,4,9,2450.0,500.0,0.3679,0.0
DB02_to_DK05#alt4,4,10,2500.0,550.0,0.4275,0.0
DB02_to_DK05#alt4,4,11,2550.0,600.0,0.4746,0.0
DB02_to_DK05#alt4,4,12,2600.0,650.0,0.503,0.0
DB02_to_DK05#alt4,4,13,2650.0,650.0,0.4746,0.0
DB02_to_DK05#alt4,4,14,2700.0,700.0,0.4931,0.0
DB02_to_DK05#alt4,4,15,2750.0,750.0,0.4931,0.0
DB02_to_DK05#alt4,4,16,2800.0,800.0,0.4746,0.0
DB02_to_DK05#alt4,4,17,2850.0,850.0,0.4346,0.0
DB02_to_DK05#alt4,4,18,2900.0,900.0,0.4076,0.0
DB02_to_DK05#alt4,4,19,2950.0,950.0,0.3628,0.0
DB02_to_DK05#alt4,4,20,3000.0,1000.0,0.3114,0.0
DB02_to_DK05#alt4,4,21,3050.0,1050.0,0.2636,0.0
DB02_to_DK05#alt4,4,22,3100.0,1100.0,0.2231,0.0
DB02_to_DK05#alt4,4,23,3150.0,1150.0,0.2636,0.0
DB02_to_DK05#alt4,4,24,3200.0,1200.0,0.3114,0.0
DB02_to_DK05#alt4,4,25,3250.0,1250.0,0.3628,0.0
DB02_to_DK05#alt4,4,26,3300.0,1300.0,0.4076,0.0
DB02_to_DK05#alt4,4,27,3350.0,1350.0,0.4346,0.0
DB02_to_DK05#alt4,4,28,3400.0,1400.0,0.5134,0.0
DB02_to_DK05#alt4,4,29,3450.0,1450.0,0.5903,0.0
DB02_to_DK05#alt4,4,30,3500.0,1500.0,0.6241,0.0
DB02_to_DK05#alt4,4,31,3550.0,1550.0,0.5903,0.0
DB02_to_DK05#alt4,4,32,3600.0,1600.0,0.5483,0.0
DB02_to_DK05#alt4,4,33,3650.0,1650.0,0.503,0.0
