pair,direction,route_type,edge_seq,from_node_id,to_node_id,x1,y1,x2,y2,edge_distance_m,route_rank,route_key
DK01_to_DK06,forward,backup,5,837,838,1450.0,400.0,1500.0,400.0,50.0,1,forward_backup_01
DK01_to_DK06,forward,backup,6,838,839,1500.0,400.0,1550.0,400.0,50.0,1,forward_backup_01
DK01_to_DK06,forward,backup,7,839,840,1550.0,400.0,1600.0,400.0,50.0,1,forward_backup_01
DK01_to_DK06,forward,backup,8,840,841,1600.0,400.0,1650.0,400.0,50.0,1,forward_backup_01
DK01_to_DK06,forward,backup,9,841,842,1650.0,400.0,1700.0,400.0,50.0,1,forward_backup_01
DK01_to_DK06,forward,backup,10,842,843,1700.0,400.0,1750.0,400.0,50.0,1,forward_backup_01
DK01_to_DK06,forward,backup,11,843,844,1750.0,400.0,1800.0,400.0,50.0,1,forward_backup_01
DK01_to_DK06,forward,backup,12,844,946,1800.0,400.0,1850.0,450.0,70.71067811865476,1,forward_backup_01
DK01_to_DK06,forward,backup,13,946,1048,1850.0,450.0,1900.0,500.0,70.71067811865476,1,forward_backup_01
DK01_to_DK06,forward,backup,14,1048,1150,1900.0,500.0,1950.0,550.0,70.71067811865476,1,forward_backup_01
DK01_to_DK06,forward,backup,15,1150,1252,1950.0,550.0,2000.0,600.0,70.71067811865476,1,forward_backup_01
DK01_to_DK06,forward,backup,16,1252,1354,2000.0,600.0,2050.0,650.0,70.71067811865476,1,forward_backup_01
DK01_to_DK06,forward,backup,17,1354,1456,2050.0,650.0,2100.0,700.0,70.71067811865476,1,forward_backup_01
DK01_to_DK06,forward,backup,18,1456,1457,2100.0,700.0,2150.0,700.0,50.0,1,forward_backup_01
DK01_to_DK06,forward,backup,19,1457,1458,2150.0,700.0,2200.0,700.0,50.0,1,forward_backup_01
DK01_to_DK06,forward,backup,20,1458,1358,2200.0,700.0,2250.0,650.0,70.71067811865476,1,forward_backup_01
DK01_to_DK06,forward,backup,21,1358,1359,2250.0,650.0,2300.0,650.0,50.0,1,forward_backup_01
DK01_to_DK06,forward,backup,22,1359,1259,2300.0,650.0,2350.0,600.0,70.71067811865476,1,forward_backup_01
DK01_to_DK06,forward,backup,23,1259,1159,2350.0,600.0,2400.0,550.0,70.71067811865476,1,forward_backup_01
DK01_to_DK06,forward,backup,24,1159,1160,2400.0,550.0,2450.0,550.0,50.0,1,forward_backup_01
DK01_to_DK06,forward,backup,25,1160,1060,2450.0,550.0,2500.0,500.0,70.71067811865476,1,forward_backup_01
DK01_to_DK06,forward,backup,26,1060,1061,2500.0,500.0,2550.0,500.0,50.0,1,forward_backup_01
DK01_to_DK06,forward,backup,27,1061,961,2550.0,500.0,2600.0,450.0,70.71067811865476,1,forward_backup_01
DK01_to_DK06,forward,backup,28,961,861,2600.0,450.0,2650.0,400.0,70.71067811865476,1,forward_backup_01
DK01_to_DK06,forward,backup,29,861,862,2650.0,400.0,2700.0,400.0,50.0,1,forward_backup_01
DK01_to_DK06,forward,backup,30,862,863,2700.0,400.0,2750.0,400.0,50.0,1,forward_backup_01
DK01_to_DK06,forward,backup,31,863,965,2750.0,400.0,2800.0,450.0,70.71067811865476,1,forward_backup_01
