edge_id,u,v,u_name,v_name,u_role,v_role,x1,y1,x2,y2,distance_m,nofly_clearance_m,route_hit_density,nearest_flz_distance_m,emergency_support,is_tn_edge,is_flz_edge,u_is_outer_zone,v_is_outer_zone,is_outer_zone_edge,edge_cost,aco_initial_desirability,edge_cost_distance_component,edge_cost_density_component,edge_cost_clearance_risk_component,edge_cost_outer_zone_component
10,2956,3476,DB01,MIN018,DB,TN_minor,1350.0,1450.0,2100.0,1700.0,790.5694150420949,100.0,7.9411764705882355,1030.7764064044152,0.4360152213017238,1,0,False,False,0,2.0595330072118876,0.4855469645294782,0.35492466694500446,0.36553171326067835,0.8333333333333334,0.0
11,2956,1555,DB01,MIN020,DB,TN_minor,1350.0,1450.0,2000.0,750.0,955.24865872714,86.7827747885489,5.619047619047619,1748.2848738120456,0.09182316923678165,1,0,False,False,0,2.325584553882069,0.42999941598799857,0.42885710678592304,0.2586443092772207,0.8553620420190852,0.0
12,2711,3406,DB02,FLZ01,DB,FLZ,4250.0,1300.0,3650.0,1650.0,694.6221994724903,163.1951379827984,13.733333333333333,0.0,1.0,0,1,False,False,0,7.327230968004295,0.13647720460385163,0.3118493431563537,0.6321442270809361,0.7280081033620027,0.0
13,2711,4805,DB02,FLZ04,DB,FLZ,4250.0,1300.0,2900.0,2350.0,1710.263137648707,141.4213562373095,11.944444444444445,0.0,1.0,0,1,False,False,0,7.518684337025435,0.13300199279221545,0.7678194513583154,0.5498018156246006,0.7642977396044841,0.0
14,2711,4494,DB02,MAJ003,DB,TN_major,4250.0,1300.0,2500.0,2200.0,1967.8668654154426,100.0,10.585365853658537,37.16517186829642,0.9989214804582192,1,0,False,False,0,1.8493603400724525,0.5407275036301594,0.8834701653143213,0.4872435375677118,0.8333333333333334,0.0
15,2711,5615,DB02,MAJ010,DB,TN_major,4250.0,1300.0,3000.0,2750.0,1914.4189719076646,180.27756377319946,12.1,226.69117514559093,0.9606476664494761,1,0,False,False,0,1.6938432305111426,0.5903734076371607,0.859474833037079,0.5569620253164558,0.6995373937113343,0.0
16,2711,3204,DB02,MAJ012,DB,TN_major,4250.0,1300.0,3650.0,1550.0,650.0,150.00000000000009,16.571428571428573,100.0,0.9922179382602435,1,0,False,False,0,1.4836963166017736,0.6739923721657398,0.2918162897839514,0.7627815222751935,0.7499999999999998,0.0
17,2711,2811,DB02,MAJ018,DB,TN_major,4250.0,1300.0,4200.0,1350.0,70.71067811865476,176.7766952966369,68.33333333333333,626.4982043070834,0.7359150228524268,1,0,False,False,0,0.3109040798636344,3.216426109424521,0.0317454272872201,3.1453778289221335,0.7053721745056052,0.0
18,2711,3996,DB02,MAJ022,DB,TN_major,4250.0,1300.0,2850.0,1950.0,1543.5349040433132,153.9710231262333,9.40625,65.0182076475691,0.9967028169627601,1,0,False,False,0,1.740029509489785,0.5747028970176615,0.6929671213076108,0.43296892980437296,0.7433816281229445,0.0
19,2711,4103,DB02,MIN006,DB,TN_minor,4250.0,1300.0,3150.0,2000.0,1303.8404810405298,166.59463463992248,12.821428571428571,32.34120221587586,0.9991831827139083,1,0,False,False,0,1.6122471855885518,0.6202522844751932,0.5853567563805689,0.5901693243465397,0.7223422756001292,0.0
20,2711,3008,DB02,MIN008,DB,TN_minor,4250.0,1300.0,3950.0,1450.0,335.4101966249685,156.65508713900917,19.125,360.5551275463989,0.9034247135330867,1,0,False,False,0,1.4229221468616242,0.7027791381317559,0.1505817832843137,0.8803222094361337,0.7389081881016514,0.0
21,2711,3615,DB02,MIN014,DB,TN_minor,4250.0,1300.0,4000.0,1750.0,514.78150704935,111.80339887498948,12.25,364.0054944640259,0.9016619341640674,1,0,False,False,0,1.676916302382969,0.5963326843319239,0.23111019913312666,0.563866513233602,0.8136610018750176,0.0
22,7213,9253,DK01,DK03,DK,DK,2100.0,3550.0,3100.0,4550.0,1414.213562373095,424.37615961711066,16.233333333333334,141.610408264697,0.9844552830464917,0,0,False,False,0,3.4995294586769186,0.2857527024156196,0.634908545744402,0.7472190257000386,0.2927064006381489,0.0
23,7213,8127,DK01,FLZ03,DK,FLZ,2100.0,3550.0,2350.0,4000.0,514.78150704935,432.67856868771844,24.166666666666668,0.0,1.0,0,1,False,False,0,6.6177843843717605,0.15110797540662577,0.23111019913312666,1.112389719984657,0.278869052187136,0.0
24,7213,8026,DK01,MAJ004,DK,TN_major,2100.0,3550.0,2350.0,3950.0,471.6990566028302,439.9147644714826,23.818181818181817,50.0,0.9980487811074755,1,0,False,False,0,0.8107939178153212,1.2333590299918546,0.21176841321911996,1.096348990480176,0.26680872588086235,0.0
25,7213,7214,DK01,MAJ005,DK,TN_major,2100.0,3550.0,2150.0,3550.0,50.0,460.9772228646444,57.0,492.44289008980525,0.8274115009025538,1,0,False,False,0,0.05,20.0,0.022447406906457797,2.623705408515536,0.23170462855892604,0.0
26,7213,8722,DK01,MAJ007,DK,TN_major,2100.0,3550.0,1800.0,4300.0,807.7747210701756,130.21143306575672,10.5,399.3181905461333,0.8828727212907482,1,0,False,True,1,1.7287917208314842,0.5784386794257884,0.36264895705225364,0.4833141542002303,0.7829809448904055,1.0
27,7213,8425,DK01,MAJ008,DK,TN_major,2100.0,3550.0,2100.0,4150.0,600.0,300.0,13.461538461538462,250.0,0.9523447998951764,1,0,False,False,0,1.3195950296823218,0.7578082498846174,0.2693688828774936,0.6196335310259362,0.5,0.0
28,7213,8943,DK01,MAJ009,DK,TN_major,2100.0,3550.0,2750.0,4400.0,1070.046727951635,291.547594742265,15.652173913043478,78.20295697311445,0.995233503409883,1,0,False,True,1,1.314577284172129,0.7607008062898045,0.480395486225082,0.7204683043978588,0.514087342096225,1.0
29,7213,5615,DK01,MAJ010,DK,TN_major,2100.0,3550.0,3000.0,2750.0,1204.1594578792296,166.19265928433782,14.461538461538462,412.31056256176606,0.8756292572035382,1,0,False,False,0,1.6257591417674238,0.6150972639851574,0.540605146625494,0.6656634504735772,0.7230122345261036,0.0
30,7213,6291,DK01,MAJ016,DK,TN_major,2100.0,3550.0,1450.0,3100.0,790.5694150420949,100.0,10.411764705882353,514.78150704935,0.812994243520487,1,0,False,False,0,1.8141830073730676,0.5512123065511442,0.35492466694500446,0.47925269071955606,0.8333333333333334,0.0
31,7213,6728,DK01,MAJ017,DK,TN_major,2100.0,3550.0,3100.0,3300.0,1030.7764064044152,460.9772228646444,11.454545454545455,497.3911531015334,0.8242514353650792,1,0,False,False,0,1.2098862701295372,0.8265239673254036,0.46276514848272443,0.5272518045820694,0.23170462855892604,0.0
